date	team	site	o:team	line	total	points	o:points
20181016 	Celtics 	home 	Seventysixers 	-5.0 	209.5 	105 	87
20181016 	Seventysixers 	away 	Celtics 	5.0 	209.5 	87 	105
20181016 	Warriors 	home 	Thunder 	-11.5 	220.5 	108 	100
20181016 	Thunder 	away 	Warriors 	11.5 	220.5 	100 	108
20181017 	Clippers 	home 	Nuggets 	2.0 	224.0 	98 	107
20181017 	Nuggets 	away 	Clippers 	-2.0 	224.0 	107 	98
20181017 	Hornets 	home 	Bucks 	2.5 	222.0 	112 	113
20181017 	Bucks 	away 	Hornets 	-2.5 	222.0 	113 	112
20181017 	Kings 	home 	Jazz 	8.0 	207.0 	117 	123
20181017 	Jazz 	away 	Kings 	-8.0 	207.0 	123 	117
20181017 	Knicks 	home 	Hawks 	-4.0 	217.0 	126 	107
20181017 	Hawks 	away 	Knicks 	4.0 	217.0 	107 	126
20181017 	Magic 	home 	Heat 	2.5 	209.0 	104 	101
20181017 	Heat 	away 	Magic 	-2.5 	209.0 	101 	104
20181017 	Pacers 	home 	Grizzlies 	-7.5 	205.0 	111 	83
20181017 	Grizzlies 	away 	Pacers 	7.5 	205.0 	83 	111
20181017 	Pistons 	home 	Nets 	-5.0 	212.0 	103 	100
20181017 	Nets 	away 	Pistons 	5.0 	212.0 	100 	103
20181017 	Raptors 	home 	Cavaliers 	-12.5 	215.5 	116 	104
20181017 	Cavaliers 	away 	Raptors 	12.5 	215.5 	104 	116
20181017 	Rockets 	home 	Pelicans 	-7.5 	232.0 	112 	131
20181017 	Pelicans 	away 	Rockets 	7.5 	232.0 	131 	112
20181017 	Spurs 	home 	Timberwolves 	-3.0 	212.0 	112 	108
20181017 	Timberwolves 	away 	Spurs 	3.0 	212.0 	108 	112
20181017 	Suns 	home 	Mavericks 	0.0 	215.0 	121 	100
20181017 	Mavericks 	away 	Suns 	0.0 	215.0 	100 	121
20181018 	Seventysixers 	home 	Bulls 	-12.5 	220.0 	127 	108
20181018 	Bulls 	away 	Seventysixers 	12.5 	220.0 	108 	127
20181018 	Trailblazers 	home 	Lakers 	-3.5 	223.0 	128 	119
20181018 	Lakers 	away 	Trailblazers 	3.5 	223.0 	119 	128
20181018 	Wizards 	home 	Heat 	-5.5 	214.5 	112 	113
20181018 	Heat 	away 	Wizards 	5.5 	214.5 	113 	112
20181019 	Bucks 	home 	Pacers 	-4.0 	217.0 	118 	101
20181019 	Pacers 	away 	Bucks 	4.0 	217.0 	101 	118
20181019 	Clippers 	home 	Thunder 	-1.0 	214.0 	108 	92
20181019 	Thunder 	away 	Clippers 	1.0 	214.0 	92 	108
20181019 	Grizzlies 	home 	Hawks 	-6.5 	215.5 	131 	117
20181019 	Hawks 	away 	Grizzlies 	6.5 	215.5 	117 	131
20181019 	Jazz 	home 	Warriors 	3.0 	218.0 	123 	124
20181019 	Warriors 	away 	Jazz 	-3.0 	218.0 	124 	123
20181019 	Magic 	home 	Hornets 	2.5 	215.5 	88 	120
20181019 	Hornets 	away 	Magic 	-2.5 	215.5 	120 	88
20181019 	Nets 	home 	Knicks 	-4.0 	221.0 	107 	105
20181019 	Knicks 	away 	Nets 	4.0 	221.0 	105 	107
20181019 	Pelicans 	home 	Kings 	-11.5 	232.0 	149 	129
20181019 	Kings 	away 	Pelicans 	11.5 	232.0 	129 	149
20181019 	Raptors 	home 	Celtics 	-3.0 	209.5 	113 	101
20181019 	Celtics 	away 	Raptors 	3.0 	209.5 	101 	113
20181019 	Timberwolves 	home 	Cavaliers 	-8.5 	223.5 	131 	123
20181019 	Cavaliers 	away 	Timberwolves 	8.5 	223.5 	123 	131
20181020 	Bulls 	home 	Pistons 	3.5 	216.5 	116 	118
20181020 	Pistons 	away 	Bulls 	-3.5 	216.5 	118 	116
20181020 	Heat 	home 	Hornets 	-3.5 	219.5 	112 	113
20181020 	Hornets 	away 	Heat 	3.5 	219.5 	113 	112
20181020 	Knicks 	home 	Celtics 	9.0 	210.5 	101 	103
20181020 	Celtics 	away 	Knicks 	-9.0 	210.5 	103 	101
20181020 	Lakers 	home 	Rockets 	3.5 	235.0 	115 	124
20181020 	Rockets 	away 	Lakers 	-3.5 	235.0 	124 	115
20181020 	Mavericks 	home 	Timberwolves 	3.0 	219.0 	140 	136
20181020 	Timberwolves 	away 	Mavericks 	-3.0 	219.0 	136 	140
20181020 	Nuggets 	home 	Suns 	-10.0 	224.0 	119 	91
20181020 	Suns 	away 	Nuggets 	10.0 	224.0 	91 	119
20181020 	Pacers 	home 	Nets 	-8.5 	214.0 	132 	112
20181020 	Nets 	away 	Pacers 	8.5 	214.0 	112 	132
20181020 	Seventysixers 	home 	Magic 	-12.5 	217.0 	116 	115
20181020 	Magic 	away 	Seventysixers 	12.5 	217.0 	115 	116
20181020 	Trailblazers 	home 	Spurs 	-4.5 	213.5 	121 	108
20181020 	Spurs 	away 	Trailblazers 	4.5 	213.5 	108 	121
20181020 	Wizards 	home 	Raptors 	1.0 	219.0 	113 	117
20181020 	Raptors 	away 	Wizards 	-1.0 	219.0 	117 	113
20181021 	Cavaliers 	home 	Hawks 	-7.5 	233.0 	111 	133
20181021 	Hawks 	away 	Cavaliers 	7.5 	233.0 	133 	111
20181021 	Clippers 	home 	Rockets 	2.0 	225.0 	115 	112
20181021 	Rockets 	away 	Clippers 	-2.0 	225.0 	112 	115
20181021 	Nuggets 	home 	Warriors 	3.5 	230.0 	100 	98
20181021 	Warriors 	away 	Nuggets 	-3.5 	230.0 	98 	100
20181021 	Thunder 	home 	Kings 	-10.0 	223.0 	120 	131
20181021 	Kings 	away 	Thunder 	10.0 	223.0 	131 	120
20181022 	Bucks 	home 	Knicks 	-11.0 	227.5 	124 	113
20181022 	Knicks 	away 	Bucks 	11.0 	227.5 	113 	124
20181022 	Celtics 	home 	Magic 	-11.0 	210.5 	90 	93
20181022 	Magic 	away 	Celtics 	11.0 	210.5 	93 	90
20181022 	Jazz 	home 	Grizzlies 	-10.0 	213.5 	84 	92
20181022 	Grizzlies 	away 	Jazz 	10.0 	213.5 	92 	84
20181022 	Lakers 	home 	Spurs 	0.0 	224.5 	142 	143
20181022 	Spurs 	away 	Lakers 	0.0 	224.5 	143 	142
20181022 	Mavericks 	home 	Bulls 	-6.0 	228.0 	115 	109
20181022 	Bulls 	away 	Mavericks 	6.0 	228.0 	109 	115
20181022 	Raptors 	home 	Hornets 	-9.5 	225.0 	127 	106
20181022 	Hornets 	away 	Raptors 	9.5 	225.0 	106 	127
20181022 	Timberwolves 	home 	Pacers 	-2.5 	223.5 	101 	91
20181022 	Pacers 	away 	Timberwolves 	2.5 	223.5 	91 	101
20181022 	Trailblazers 	home 	Wizards 	-4.5 	227.5 	124 	125
20181022 	Wizards 	away 	Trailblazers 	4.5 	227.5 	125 	124
20181022 	Warriors 	home 	Suns 	-12.5 	227.5 	123 	103
20181022 	Suns 	away 	Warriors 	12.5 	227.5 	103 	123
20181023 	Nuggets 	home 	Kings 	-12.0 	228.5 	126 	112
20181023 	Kings 	away 	Nuggets 	12.0 	228.5 	112 	126
20181023 	Pelicans 	home 	Clippers 	-6.5 	237.0 	116 	109
20181023 	Clippers 	away 	Pelicans 	6.5 	237.0 	109 	116
20181023 	Pistons 	home 	Seventysixers 	0.0 	218.0 	133 	132
20181023 	Seventysixers 	away 	Pistons 	0.0 	218.0 	132 	133
20181024 	Bucks 	home 	Seventysixers 	-6.0 	224.5 	123 	108
20181024 	Seventysixers 	away 	Bucks 	6.0 	224.5 	108 	123
20181024 	Bulls 	home 	Hornets 	3.5 	230.0 	112 	110
20181024 	Hornets 	away 	Bulls 	-3.5 	230.0 	110 	112
20181024 	Cavaliers 	home 	Nets 	-2.5 	227.5 	86 	102
20181024 	Nets 	away 	Cavaliers 	2.5 	227.5 	102 	86
20181024 	Hawks 	home 	Mavericks 	1.5 	233.5 	111 	104
20181024 	Mavericks 	away 	Hawks 	-1.5 	233.5 	104 	111
20181024 	Heat 	home 	Knicks 	-8.0 	218.0 	110 	87
20181024 	Knicks 	away 	Heat 	8.0 	218.0 	87 	110
20181024 	Kings 	home 	Grizzlies 	3.0 	219.5 	97 	92
20181024 	Grizzlies 	away 	Kings 	-3.0 	219.5 	92 	97
20181024 	Raptors 	home 	Timberwolves 	-8.0 	226.0 	112 	105
20181024 	Timberwolves 	away 	Raptors 	8.0 	226.0 	105 	112
20181024 	Rockets 	home 	Jazz 	-1.0 	217.5 	89 	100
20181024 	Jazz 	away 	Rockets 	1.0 	217.5 	100 	89
20181024 	Spurs 	home 	Pacers 	-1.5 	212.0 	96 	116
20181024 	Pacers 	away 	Spurs 	1.5 	212.0 	116 	96
20181024 	Suns 	home 	Lakers 	5.5 	237.0 	113 	131
20181024 	Lakers 	away 	Suns 	-5.5 	237.0 	131 	113
20181024 	Warriors 	home 	Wizards 	-10.0 	236.0 	144 	122
20181024 	Wizards 	away 	Warriors 	10.0 	236.0 	122 	144
20181025 	Lakers 	home 	Nuggets 	1.5 	235.5 	121 	114
20181025 	Nuggets 	away 	Lakers 	-1.5 	235.5 	114 	121
20181025 	Magic 	home 	Trailblazers 	3.5 	218.0 	114 	128
20181025 	Trailblazers 	away 	Magic 	-3.5 	218.0 	128 	114
20181025 	Pistons 	home 	Cavaliers 	-8.0 	217.0 	110 	103
20181025 	Cavaliers 	away 	Pistons 	8.0 	217.0 	103 	110
20181025 	Thunder 	home 	Celtics 	-1.5 	214.0 	95 	101
20181025 	Celtics 	away 	Thunder 	1.5 	214.0 	101 	95
20181026 	Hornets 	home 	Bulls 	-10.5 	227.0 	135 	106
20181026 	Bulls 	away 	Hornets 	10.5 	227.0 	106 	135
20181026 	Kings 	home 	Wizards 	4.5 	235.0 	116 	112
20181026 	Wizards 	away 	Kings 	-4.5 	235.0 	112 	116
20181026 	Knicks 	home 	Warriors 	12.0 	228.0 	100 	128
20181026 	Warriors 	away 	Knicks 	-12.0 	228.0 	128 	100
20181026 	Pelicans 	home 	Nets 	-9.0 	232.5 	117 	115
20181026 	Nets 	away 	Pelicans 	9.0 	232.5 	115 	117
20181026 	Raptors 	home 	Mavericks 	-11.0 	223.5 	116 	107
20181026 	Mavericks 	away 	Raptors 	11.0 	223.5 	107 	116
20181026 	Rockets 	home 	Clippers 	-3.5 	219.0 	113 	133
20181026 	Clippers 	away 	Rockets 	3.5 	219.0 	133 	113
20181026 	Timberwolves 	home 	Bucks 	2.5 	233.0 	95 	125
20181026 	Bucks 	away 	Timberwolves 	-2.5 	233.0 	125 	95
20181027 	Bucks 	home 	Magic 	-9.5 	220.0 	113 	91
20181027 	Magic 	away 	Bucks 	9.5 	220.0 	91 	113
20181027 	Cavaliers 	home 	Pacers 	7.0 	215.0 	107 	119
20181027 	Pacers 	away 	Cavaliers 	-7.0 	215.0 	119 	107
20181027 	Grizzlies 	home 	Suns 	-8.5 	207.0 	117 	96
20181027 	Suns 	away 	Grizzlies 	8.5 	207.0 	96 	117
20181027 	Hawks 	home 	Bulls 	-5.0 	231.0 	85 	97
20181027 	Bulls 	away 	Hawks 	5.0 	231.0 	97 	85
20181027 	Heat 	home 	Trailblazers 	-1.5 	221.0 	120 	111
20181027 	Trailblazers 	away 	Heat 	1.5 	221.0 	111 	120
20181027 	Pelicans 	home 	Jazz 	5.0 	226.0 	111 	132
20181027 	Jazz 	away 	Pelicans 	-5.0 	226.0 	132 	111
20181027 	Pistons 	home 	Celtics 	3.5 	209.0 	89 	109
20181027 	Celtics 	away 	Pistons 	-3.5 	209.0 	109 	89
20181027 	Seventysixers 	home 	Hornets 	-6.0 	228.5 	105 	103
20181027 	Hornets 	away 	Seventysixers 	6.0 	228.5 	103 	105
20181027 	Spurs 	home 	Lakers 	0.0 	230.0 	110 	106
20181027 	Lakers 	away 	Spurs 	0.0 	230.0 	106 	110
20181028 	Clippers 	home 	Wizards 	-4.0 	230.0 	136 	104
20181028 	Wizards 	away 	Clippers 	4.0 	230.0 	104 	136
20181028 	Mavericks 	home 	Jazz 	4.5 	213.0 	104 	113
20181028 	Jazz 	away 	Mavericks 	-4.5 	213.0 	113 	104
20181028 	Nets 	home 	Warriors 	10.0 	226.5 	114 	120
20181028 	Warriors 	away 	Nets 	-10.0 	226.5 	120 	114
20181028 	Thunder 	home 	Suns 	-12.5 	219.0 	117 	110
20181028 	Suns 	away 	Thunder 	12.5 	219.0 	110 	117
20181029 	Bucks 	home 	Raptors 	0.0 	223.0 	124 	109
20181029 	Raptors 	away 	Bucks 	0.0 	223.0 	109 	124
20181029 	Bulls 	home 	Warriors 	11.5 	231.0 	124 	149
20181029 	Warriors 	away 	Bulls 	-11.5 	231.0 	149 	124
20181029 	Heat 	home 	Kings 	-8.5 	227.0 	113 	123
20181029 	Kings 	away 	Heat 	8.5 	227.0 	123 	113
20181029 	Knicks 	home 	Nets 	-2.5 	215.5 	115 	96
20181029 	Nets 	away 	Knicks 	2.5 	215.5 	96 	115
20181029 	Nuggets 	home 	Pelicans 	-7.0 	231.0 	116 	111
20181029 	Pelicans 	away 	Nuggets 	7.0 	231.0 	111 	116
20181029 	Pacers 	home 	Trailblazers 	-3.5 	215.5 	93 	103
20181029 	Trailblazers 	away 	Pacers 	3.5 	215.5 	103 	93
20181029 	Seventysixers 	home 	Hawks 	-11.0 	229.5 	113 	92
20181029 	Hawks 	away 	Seventysixers 	11.0 	229.5 	92 	113
20181029 	Spurs 	home 	Mavericks 	-6.5 	218.0 	113 	108
20181029 	Mavericks 	away 	Spurs 	6.5 	218.0 	108 	113
20181029 	Timberwolves 	home 	Lakers 	0.0 	239.5 	124 	120
20181029 	Lakers 	away 	Timberwolves 	0.0 	239.5 	120 	124
20181030 	Cavaliers 	home 	Hawks 	-5.0 	227.0 	136 	114
20181030 	Hawks 	away 	Cavaliers 	5.0 	227.0 	114 	136
20181030 	Celtics 	home 	Pistons 	-8.5 	212.0 	108 	105
20181030 	Pistons 	away 	Celtics 	8.5 	212.0 	105 	108
20181030 	Grizzlies 	home 	Wizards 	-2.0 	217.0 	107 	95
20181030 	Wizards 	away 	Grizzlies 	2.0 	217.0 	95 	107
20181030 	Hornets 	home 	Heat 	-4.5 	221.5 	125 	113
20181030 	Heat 	away 	Hornets 	4.5 	221.5 	113 	125
20181030 	Magic 	home 	Kings 	-4.5 	220.5 	99 	107
20181030 	Kings 	away 	Magic 	4.5 	220.5 	107 	99
20181030 	Raptors 	home 	Seventysixers 	-6.5 	227.5 	129 	112
20181030 	Seventysixers 	away 	Raptors 	6.5 	227.5 	112 	129
20181030 	Rockets 	home 	Trailblazers 	-3.5 	222.0 	85 	104
20181030 	Trailblazers 	away 	Rockets 	3.5 	222.0 	104 	85
20181030 	Thunder 	home 	Clippers 	-3.0 	228.0 	128 	110
20181030 	Clippers 	away 	Thunder 	3.0 	228.0 	110 	128
20181031 	Bulls 	home 	Nuggets 	7.5 	222.0 	107 	108
20181031 	Nuggets 	away 	Bulls 	-7.5 	222.0 	108 	107
20181031 	Knicks 	home 	Pacers 	6.0 	208.0 	101 	107
20181031 	Pacers 	away 	Knicks 	-6.0 	208.0 	107 	101
20181031 	Lakers 	home 	Mavericks 	-6.5 	234.5 	114 	113
20181031 	Mavericks 	away 	Lakers 	6.5 	234.5 	113 	114
20181031 	Nets 	home 	Pistons 	-2.5 	217.0 	120 	119
20181031 	Pistons 	away 	Nets 	2.5 	217.0 	119 	120
20181031 	Suns 	home 	Spurs 	7.5 	214.0 	90 	120
20181031 	Spurs 	away 	Suns 	-7.5 	214.0 	120 	90
20181031 	Timberwolves 	home 	Jazz 	3.5 	222.5 	128 	125
20181031 	Jazz 	away 	Timberwolves 	-3.5 	222.5 	125 	128
20181031 	Warriors 	home 	Pelicans 	-10.5 	238.0 	131 	121
20181031 	Pelicans 	away 	Warriors 	10.5 	238.0 	121 	131
20181101 	Cavaliers 	home 	Nuggets 	6.0 	217.5 	91 	110
20181101 	Nuggets 	away 	Cavaliers 	-6.0 	217.5 	110 	91
20181101 	Celtics 	home 	Bucks 	-3.0 	221.5 	117 	113
20181101 	Bucks 	away 	Celtics 	3.0 	221.5 	113 	117
20181101 	Hawks 	home 	Kings 	2.5 	233.5 	115 	146
20181101 	Kings 	away 	Hawks 	-2.5 	233.5 	146 	115
20181101 	Hornets 	home 	Thunder 	-1.0 	226.5 	107 	111
20181101 	Thunder 	away 	Hornets 	1.0 	226.5 	111 	107
20181101 	Seventysixers 	home 	Clippers 	-5.5 	230.0 	122 	113
20181101 	Clippers 	away 	Seventysixers 	5.5 	230.0 	113 	122
20181101 	Trailblazers 	home 	Pelicans 	-7.5 	232.0 	132 	119
20181101 	Pelicans 	away 	Trailblazers 	7.5 	232.0 	119 	132
20181102 	Bulls 	home 	Pacers 	7.5 	212.5 	105 	107
20181102 	Pacers 	away 	Bulls 	-7.5 	212.5 	107 	105
20181102 	Jazz 	home 	Grizzlies 	-7.5 	204.5 	100 	110
20181102 	Grizzlies 	away 	Jazz 	7.5 	204.5 	110 	100
20181102 	Magic 	home 	Clippers 	3.5 	217.0 	95 	120
20181102 	Clippers 	away 	Magic 	-3.5 	217.0 	120 	95
20181102 	Mavericks 	home 	Knicks 	-5.5 	218.0 	106 	118
20181102 	Knicks 	away 	Mavericks 	5.5 	218.0 	118 	106
20181102 	Nets 	home 	Rockets 	4.0 	221.0 	111 	119
20181102 	Rockets 	away 	Nets 	-4.0 	221.0 	119 	111
20181102 	Suns 	home 	Raptors 	10.5 	225.5 	98 	107
20181102 	Raptors 	away 	Suns 	-10.5 	225.5 	107 	98
20181102 	Warriors 	home 	Timberwolves 	-11.5 	238.5 	116 	99
20181102 	Timberwolves 	away 	Warriors 	11.5 	238.5 	99 	116
20181102 	Wizards 	home 	Thunder 	-2.5 	234.0 	111 	134
20181102 	Thunder 	away 	Wizards 	2.5 	234.0 	134 	111
20181103 	Bulls 	home 	Rockets 	8.0 	226.0 	88 	96
20181103 	Rockets 	away 	Bulls 	-8.0 	226.0 	96 	88
20181103 	Hawks 	home 	Heat 	5.5 	226.0 	123 	118
20181103 	Heat 	away 	Hawks 	-5.5 	226.0 	118 	123
20181103 	Hornets 	home 	Cavaliers 	-10.0 	225.5 	126 	94
20181103 	Cavaliers 	away 	Hornets 	10.0 	225.5 	94 	126
20181103 	Nuggets 	home 	Jazz 	-4.5 	209.5 	103 	88
20181103 	Jazz 	away 	Nuggets 	4.5 	209.5 	88 	103
20181103 	Pacers 	home 	Celtics 	2.5 	207.5 	102 	101
20181103 	Celtics 	away 	Pacers 	-2.5 	207.5 	101 	102
20181103 	Seventysixers 	home 	Pistons 	-7.5 	222.5 	109 	99
20181103 	Pistons 	away 	Seventysixers 	7.5 	222.5 	99 	109
20181103 	Spurs 	home 	Pelicans 	-3.5 	227.0 	109 	95
20181103 	Pelicans 	away 	Spurs 	3.5 	227.0 	95 	109
20181103 	Trailblazers 	home 	Lakers 	-3.0 	236.0 	110 	114
20181103 	Lakers 	away 	Trailblazers 	3.0 	236.0 	114 	110
20181104 	Bucks 	home 	Kings 	-10.0 	235.5 	144 	109
20181104 	Kings 	away 	Bucks 	10.0 	235.5 	109 	144
20181104 	Lakers 	home 	Raptors 	3.0 	233.5 	107 	121
20181104 	Raptors 	away 	Lakers 	-3.0 	233.5 	121 	107
20181104 	Nets 	home 	Seventysixers 	4.0 	223.5 	122 	97
20181104 	Seventysixers 	away 	Nets 	-4.0 	223.5 	97 	122
20181104 	Spurs 	home 	Magic 	-8.0 	205.5 	110 	117
20181104 	Magic 	away 	Spurs 	8.0 	205.5 	117 	110
20181104 	Suns 	home 	Grizzlies 	4.0 	211.0 	102 	100
20181104 	Grizzlies 	away 	Suns 	-4.0 	211.0 	100 	102
20181104 	Trailblazers 	home 	Timberwolves 	-5.5 	227.0 	111 	81
20181104 	Timberwolves 	away 	Trailblazers 	5.5 	227.0 	81 	111
20181104 	Wizards 	home 	Knicks 	-6.5 	223.5 	108 	95
20181104 	Knicks 	away 	Wizards 	6.5 	223.5 	95 	108
20181105 	Clippers 	home 	Timberwolves 	-5.0 	228.5 	120 	109
20181105 	Timberwolves 	away 	Clippers 	5.0 	228.5 	109 	120
20181105 	Jazz 	home 	Raptors 	1.0 	217.0 	111 	124
20181105 	Raptors 	away 	Jazz 	-1.0 	217.0 	124 	111
20181105 	Knicks 	home 	Bulls 	-2.5 	216.0 	115 	116
20181105 	Bulls 	away 	Knicks 	2.5 	216.0 	116 	115
20181105 	Magic 	home 	Cavaliers 	-4.5 	212.5 	102 	100
20181105 	Cavaliers 	away 	Magic 	4.5 	212.5 	100 	102
20181105 	Nuggets 	home 	Celtics 	-2.5 	209.5 	115 	107
20181105 	Celtics 	away 	Nuggets 	2.5 	209.5 	107 	115
20181105 	Pacers 	home 	Rockets 	0.0 	212.0 	94 	98
20181105 	Rockets 	away 	Pacers 	0.0 	212.0 	98 	94
20181105 	Pistons 	home 	Heat 	-3.5 	220.5 	115 	120
20181105 	Heat 	away 	Pistons 	3.5 	220.5 	120 	115
20181105 	Thunder 	home 	Pelicans 	-4.5 	237.5 	122 	116
20181105 	Pelicans 	away 	Thunder 	4.5 	237.5 	116 	122
20181105 	Warriors 	home 	Grizzlies 	-14.5 	218.5 	117 	101
20181105 	Grizzlies 	away 	Warriors 	14.5 	218.5 	101 	117
20181106 	Hornets 	home 	Hawks 	-11.5 	230.5 	113 	102
20181106 	Hawks 	away 	Hornets 	11.5 	230.5 	102 	113
20181106 	Mavericks 	home 	Wizards 	1.0 	225.0 	119 	100
20181106 	Wizards 	away 	Mavericks 	-1.0 	225.0 	100 	119
20181106 	Suns 	home 	Nets 	2.5 	218.5 	82 	104
20181106 	Nets 	away 	Suns 	-2.5 	218.5 	104 	82
20181106 	Trailblazers 	home 	Bucks 	1.0 	228.0 	118 	103
20181106 	Bucks 	away 	Trailblazers 	-1.0 	228.0 	103 	118
20181107 	Cavaliers 	home 	Thunder 	6.0 	217.5 	86 	95
20181107 	Thunder 	away 	Cavaliers 	-6.0 	217.5 	95 	86
20181107 	Grizzlies 	home 	Nuggets 	3.5 	203.5 	89 	87
20181107 	Nuggets 	away 	Grizzlies 	-3.5 	203.5 	87 	89
20181107 	Hawks 	home 	Knicks 	2.0 	225.0 	107 	112
20181107 	Knicks 	away 	Hawks 	-2.0 	225.0 	112 	107
20181107 	Heat 	home 	Spurs 	-2.0 	215.5 	95 	88
20181107 	Spurs 	away 	Heat 	2.0 	215.5 	88 	95
20181107 	Jazz 	home 	Mavericks 	-9.5 	213.5 	117 	102
20181107 	Mavericks 	away 	Jazz 	9.5 	213.5 	102 	117
20181107 	Kings 	home 	Raptors 	8.5 	232.5 	105 	114
20181107 	Raptors 	away 	Kings 	-8.5 	232.5 	114 	105
20181107 	Lakers 	home 	Timberwolves 	-5.5 	237.5 	114 	110
20181107 	Timberwolves 	away 	Lakers 	5.5 	237.5 	110 	114
20181107 	Magic 	home 	Pistons 	3.0 	212.0 	96 	103
20181107 	Pistons 	away 	Magic 	-3.0 	212.0 	103 	96
20181107 	Pacers 	home 	Seventysixers 	-3.0 	216.5 	94 	100
20181107 	Seventysixers 	away 	Pacers 	3.0 	216.5 	100 	94
20181107 	Pelicans 	home 	Bulls 	-10.5 	228.5 	107 	98
20181107 	Bulls 	away 	Pelicans 	10.5 	228.5 	98 	107
20181108 	Suns 	home 	Celtics 	9.5 	214.5 	109 	116
20181108 	Celtics 	away 	Suns 	-9.5 	214.5 	116 	109
20181108 	Thunder 	home 	Rockets 	4.0 	213.0 	98 	80
20181108 	Rockets 	away 	Thunder 	-4.0 	213.0 	80 	98
20181108 	Trailblazers 	home 	Clippers 	-5.5 	224.5 	116 	105
20181108 	Clippers 	away 	Trailblazers 	5.5 	224.5 	105 	116
20181108 	Warriors 	home 	Bucks 	-5.0 	241.5 	111 	134
20181108 	Bucks 	away 	Warriors 	5.0 	241.5 	134 	111
20181109 	Hawks 	home 	Pistons 	5.5 	227.5 	109 	124
20181109 	Pistons 	away 	Hawks 	-5.5 	227.5 	124 	109
20181109 	Heat 	home 	Pacers 	2.0 	211.0 	102 	110
20181109 	Pacers 	away 	Heat 	-2.0 	211.0 	110 	102
20181109 	Jazz 	home 	Celtics 	-6.0 	209.0 	123 	115
20181109 	Celtics 	away 	Jazz 	6.0 	209.0 	115 	123
20181109 	Kings 	home 	Timberwolves 	2.0 	230.0 	121 	110
20181109 	Timberwolves 	away 	Kings 	-2.0 	230.0 	110 	121
20181109 	Magic 	home 	Wizards 	2.5 	221.5 	117 	108
20181109 	Wizards 	away 	Magic 	-2.5 	221.5 	108 	117
20181109 	Nuggets 	home 	Nets 	-9.0 	215.0 	110 	112
20181109 	Nets 	away 	Nuggets 	9.0 	215.0 	112 	110
20181109 	Seventysixers 	home 	Hornets 	-5.5 	227.0 	133 	132
20181109 	Hornets 	away 	Seventysixers 	5.5 	227.0 	132 	133
20181110 	Bulls 	home 	Cavaliers 	-4.5 	211.5 	99 	98
20181110 	Cavaliers 	away 	Bulls 	4.5 	211.5 	98 	99
20181110 	Clippers 	home 	Bucks 	3.0 	234.0 	128 	126
20181110 	Bucks 	away 	Clippers 	-3.0 	234.0 	126 	128
20181110 	Grizzlies 	home 	Seventysixers 	-4.0 	210.0 	112 	106
20181110 	Seventysixers 	away 	Grizzlies 	4.0 	210.0 	106 	112
20181110 	Heat 	home 	Wizards 	-2.5 	224.0 	110 	116
20181110 	Wizards 	away 	Heat 	2.5 	224.0 	116 	110
20181110 	Kings 	home 	Lakers 	6.0 	237.5 	86 	101
20181110 	Lakers 	away 	Kings 	-6.0 	237.5 	101 	86
20181110 	Mavericks 	home 	Thunder 	0.0 	214.0 	111 	96
20181110 	Thunder 	away 	Mavericks 	0.0 	214.0 	96 	111
20181110 	Pelicans 	home 	Suns 	-10.0 	227.0 	119 	99
20181110 	Suns 	away 	Pelicans 	10.0 	227.0 	99 	119
20181110 	Raptors 	home 	Knicks 	-14.0 	219.0 	128 	112
20181110 	Knicks 	away 	Raptors 	14.0 	219.0 	112 	128
20181110 	Spurs 	home 	Rockets 	1.0 	209.5 	96 	89
20181110 	Rockets 	away 	Spurs 	-1.0 	209.5 	89 	96
20181110 	Warriors 	home 	Nets 	-8.0 	223.5 	116 	100
20181110 	Nets 	away 	Warriors 	8.0 	223.5 	100 	116
20181111 	Knicks 	home 	Magic 	-1.5 	207.5 	89 	115
20181111 	Magic 	away 	Knicks 	1.5 	207.5 	115 	89
20181111 	Lakers 	home 	Hawks 	-10.5 	238.0 	107 	106
20181111 	Hawks 	away 	Lakers 	10.5 	238.0 	106 	107
20181111 	Nuggets 	home 	Bucks 	-2.5 	223.0 	114 	121
20181111 	Bucks 	away 	Nuggets 	2.5 	223.0 	121 	114
20181111 	Pistons 	home 	Hornets 	-2.5 	221.5 	103 	113
20181111 	Hornets 	away 	Pistons 	2.5 	221.5 	113 	103
20181111 	Rockets 	home 	Pacers 	-2.5 	210.0 	115 	103
20181111 	Pacers 	away 	Rockets 	2.5 	210.0 	103 	115
20181111 	Trailblazers 	home 	Celtics 	-2.5 	213.5 	100 	94
20181111 	Celtics 	away 	Trailblazers 	2.5 	213.5 	94 	100
20181112 	Bulls 	home 	Mavericks 	1.5 	212.5 	98 	103
20181112 	Mavericks 	away 	Bulls 	-1.5 	212.5 	103 	98
20181112 	Clippers 	home 	Warriors 	2.5 	232.0 	121 	116
20181112 	Warriors 	away 	Clippers 	-2.5 	232.0 	116 	121
20181112 	Grizzlies 	home 	Jazz 	3.5 	202.5 	88 	96
20181112 	Jazz 	away 	Grizzlies 	-3.5 	202.5 	96 	88
20181112 	Heat 	home 	Seventysixers 	-2.0 	224.0 	114 	124
20181112 	Seventysixers 	away 	Heat 	2.0 	224.0 	124 	114
20181112 	Kings 	home 	Spurs 	3.0 	220.0 	104 	99
20181112 	Spurs 	away 	Kings 	-3.0 	220.0 	99 	104
